textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186780,102035,12122,dm transport,KIDS FOR LESS STORE #50,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186781,102036,12123,dm transport,KIDS FOR LESS STORE #50,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186782,102037,12121,dm transport,KIDS FOR LESS STORE #51,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186783,102038,12122,dm transport,KIDS FOR LESS STORE #51,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186784,102039,12123,dm transport,KIDS FOR LESS STORE #51,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187011,102132,45AQULJB,CENTRAL FREIGHT,AMAZON.COM.KYDC LLC,2/25/2014,3/5/2014,3/14/2014 3:00:00 PM 15:00,"2014/03/13 15:25 - READY TO SHIP
SHIP ON 185238; 2014/03/09 18:45 - waiting for SP to be completed, should be shipping around 3/12 - 3/13"
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187012,102133,W9648860,UPS FREIGHT,AMAZON.COM.KYDC LLC,2/25/2014,3/5/2014,3/14/2014 3:00:00 PM 15:00,"2014/03/13 15:21 - READY TO SHIP
SHIP ON 185240
; 2014/03/09 18:45 - waiting for SP to be completed, should be shipping around 3/12 - 3/13"
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187013,102134,Z6959022,CENTRAL FREIGHT,AMAZON.COM,2/25/2014,3/7/2014,3/14/2014 3:00:00 PM 15:00,"2014/03/13 15:23 - READY TO SHIP; 2014/03/09 18:45 - waiting for SP to be completed, should be shipping around 3/12 - 3/13"
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187024,102141,12052013,FedEx,LIEBMANS,2/25/2014,3/15/2014,3/11/2014 00:00,2014/03/09 18:36 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187025,102142,67193,FedEx,KTP DISTRIBUTION CENTER,2/25/2014,3/25/2014,3/11/2014 00:00,2014/03/09 18:36 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,3/3/2014,187819,102162,20027544,VENDOR PORTAL,SPECIALTY RETAILORS 108 - S.R.,2/25/2014,3/7/2014, 00:00,2014/03/09 17:52 - missing freight jde notified ; 2014/03/09 17:50 - routed online srr 120515
Warehouse: Warehouse 6,JDE Associates,3/3/2014,187820,102163,20027545,GREAT CENTRAL,SPECIALTY RETAILORS 108 - S.R.,2/25/2014,3/7/2014,3/14/2014 12:00:00 PM 12:00,"READY TO SHIP
2014/03/09 17:50 - routed online srr 120515"
Warehouse: Warehouse 6,JDE Associates,3/3/2014,187822,102165,20027548,VENDOR PORTAL,SPECIALTY RETAILORS 108 - S.R.,2/25/2014,3/7/2014, 00:00,2014/03/09 17:52 - missing freight jde notified ; 2014/03/09 17:50 - routed online srr 120515
Warehouse: Warehouse 6,JDE Associates,3/3/2014,187824,102167,20027551,VENDOR PORTAL,SPECIALTY RETAILORS 108 - S.R.,2/25/2014,3/7/2014, 00:00,2014/03/09 17:52 - missing freight jde notified ; 2014/03/09 17:50 - routed online srr 120515
Warehouse: Warehouse 6,JDE Associates,3/4/2014,187972,102170,290774,G&H EXPRESS,NATIONAL STORES,2/25/2014,3/7/2014,3/11/2014 11:00:00 AM 11:00,"2014/03/10 06:46 - READY TO SHIP; 2014/03/09 18:38 - CONF RECEIVED 3/4, DELIVERY APPT REQUESTED ON 3/5, AWAITING NATIONAL RESPONSE ( THEY  ARE 2 WEEKS BEHIND DO TO HEAVY VOLUME ) "
Warehouse: Warehouse 6,JDE Associates,3/4/2014,187973,102171,290778,G&H EXPRESS,NATIONAL STORES,2/25/2014,3/7/2014,3/11/2014 11:00:00 AM 11:00,"2014/03/10 06:46 - READY TO SHIP; 2014/03/09 18:38 - CONF RECEIVED 3/4, DELIVERY APPT REQUESTED ON 3/5, AWAITING NATIONAL RESPONSE ( THEY  ARE 2 WEEKS BEHIND DO TO HEAVY VOLUME ) "
Warehouse: Warehouse 6,JDE Associates,3/5/2014,188374,102184,022514B,COSMO,DC DB,2/25/2014,3/15/2014,3/12/2014 3:00:00 PM 15:00,2014/03/11 15:59 - READY TO SHIP; 2014/03/09 18:21 - orders still on hold ( credit hold )
Warehouse: Warehouse 6,JDE Associates,3/5/2014,188375,102185,SP14BULK,CALL TO ROUTE,ALMACENES CAMPANITA S. A. DE C,2/25/2014,3/15/2014, 00:00,"2014/03/09 18:40 - special project issued to whse 3/7 requesting pickup for 3/14 from customer, awaiting response "
Warehouse: Warehouse 6,JDE Associates,3/7/2014,188689,102194,022514,FedEx,ASSISTANCE LEAGUE OF SAN ANTON,2/25/2014,3/15/2014,3/12/2014 00:00,2014/03/09 19:01 - ready to ship
Warehouse: Warehouse 6,JDE Associates,3/7/2014,188690,102195,022514,CUSTOMER PICK UP,KID APPAREL INC.,2/25/2014,3/15/2014,3/17/2014 2:00:00 PM 14:00,"2014/03/13 15:16 - READY TO SHIP; 2014/03/09 18:58 - need routing shipping instructions, jde notified "
Warehouse: Warehouse 6,JDE Associates,3/7/2014,188692,102197,022514,FedEx,LA REVOLTOSA,2/25/2014,3/15/2014,3/12/2014 00:00,2014/03/09 19:01 - ready to ship
Warehouse: Warehouse 6,JDE Associates,3/12/2014,189958,102293,608728,WRAGTIME,COOKIE'S ON FULTON INC.,2/25/2014,3/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,3/12/2014,189959,102294,608728,WRAGTIME,COOKIE'S ON FULTON INC.,2/25/2014,3/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,3/12/2014,189960,102295,608728,WRAGTIME,COOKIE'S ON FULTON,2/25/2014,3/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,3/12/2014,189961,102296,608728,WRAGTIME,COOKIE'S ON FULTON INC.,2/25/2014,3/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,3/12/2014,189964,102299,112608,QUOTE UCL,J&S KIDSWEAR INC. D/B/A DENNY',2/25/2014,3/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,2/21/2014,185757,101979,15499937,BEST OVERNITE,NAVY EXCHANGE WC RETAIL DIST C,2/26/2014,3/7/2014,3/5/2014 2:00:00 PM 14:00,"2014/03/04 15:48 - READY TO SHIP 
SHIP ON 185756; PK1"
Warehouse: Warehouse 6,JDE Associates,2/21/2014,185758,101980,15500003,BEST OVERNITE,NAVY EXCHANGE WC RETAIL DIST C,2/26/2014,3/7/2014,3/5/2014 2:00:00 PM 14:00,"2014/03/04 15:48 - READY TO SHIP 
SHIP ON 185756; PK1"
Warehouse: Warehouse 6,JDE Associates,2/14/2014,184080,101914,34-018275,,SMITH & EDWARDS COMPANY,3/1/2014,3/30/2014, 00:00,2014/03/09 18:21 - orders still on hold ( credit hold ); 2014/02/18 21:48 - on hold per gwen 
